filename,width,height,class,xmin,ymin,xmax,ymax
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-knight,170,233,200,303
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-king,46,80,81,169
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-queen,128,15,156,92
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-bishop,166,145,195,207
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-rook,162,31,189,86
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-pawn,170,108,194,154
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-pawn,97,40,125,90
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-pawn,93,114,116,162
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,white-pawn,131,206,155,261
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-rook,96,0,124,53
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-knight,80,234,114,305
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-bishop,200,58,222,121
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-king,305,72,341,159
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-pawn,276,109,298,158
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-pawn,212,246,235,300
a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.cb0f3b1463e92615083e75629be7c4ee.jpg,416,416,black-pawn,241,194,264,245
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,284,45,303,86
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,99,122,119,166
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-king,53,77,87,169
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,177,86,196,126
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,284,12,309,58
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,148,47,170,90
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-bishop,75,34,101,91
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-queen,276,56,308,113
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,279,111,306,166
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,114,14,134,54
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,219,77,240,125
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-king,324,133,358,213
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-bishop,317,31,348,98
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-knight,169,115,198,171
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-rook,315,4,346,69
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,203,214,231,264
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-knight,132,107,159,169
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-queen,79,146,113,215
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,151,260,178,307
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,286,264,310,310
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-rook,83,7,108,51
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,130,207,156,259
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-rook,12,306,46,370
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-bishop,332,253,365,316
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-knight,29,204,67,259
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-knight,324,200,357,266
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-knight,244,105,272,168
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,281,153,310,209
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,164,168,189,217
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-pawn,197,312,226,365
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,white-rook,236,306,269,370
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.c09e87097759a1f3c86cfc83a677ee7d.jpg,416,416,black-pawn,62,312,88,362
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-queen,324,87,354,155
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-king,325,112,357,194
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-bishop,293,230,318,291
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-bishop,315,54,337,113
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,white-rook,345,282,377,343
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,white-rook,311,6,333,47
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-knight,176,133,201,190
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-knight,245,18,267,76
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,279,36,297,73
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,276,5,295,38
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,295,192,316,236
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,291,145,312,189
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,283,67,302,111
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,213,98,231,144
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,253,236,275,284
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,black-pawn,264,289,288,340
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,white-rook,75,1,99,34
1877a28e4c5f5c1ea68aca66f4e85d95_jpg.rf.c65abe6a33f5679f8c1e84d9029a77e4.jpg,416,416,white-rook,90,283,119,342
